Timestamp,Airport,Timezone,DirInten,Visibility,Weather0,Weather1,CG0,CG1,CG2,TTD,Pressure,ReraRets
2016060102,SBKG,010215Z,10004KT,na,olarrr,na,na,na,na,na,22/21,Q1015,na
2016060103,SBKG,010300Z,11004KT,na,olarrr,na,na,SCT011,BKN014,na,22/21,Q1015,na
2016060104,SBKG,010400Z,12005KT,na,olarrr,na,na,SCT011,BKN014,na,22/21,Q1015,na
2016060105,SBKG,010500Z,13003KT,na,olarrr,na,na,SCT010,na,na,21/20,Q1014,na
2016060106,SBKG,010600Z,10003KT,na,olarrr,na,na,FEW010,na,na,20/20,Q1014,na
2016060107,SBKG,010700Z,11002KT,na,olarrr,na,na,FEW010,na,na,20/20,Q1014,na
2016060108,SBKG,010800Z,15002KT,na,olarrr,na,na,SCT007,na,na,20/20,Q1014,na
2016060109,SBKG,010900Z,15003KT,na,olarrr,na,na,FEW007,na,na,20/20,Q1015,na
2016060110,SBKG,011000Z,16004KT,na,olarrr,na,na,FEW010,na,na,22/20,Q1016,na
2016060111,SBKG,011100Z,17008KT,na,olarrr,na,na,SCT013,na,na,23/20,Q1017,na
2016060112,SBKG,011200Z,16009KT,na,olarrr,na,na,SCT015,na,na,24/20,Q1017,na
2016060113,SBKG,011300Z,14010KT,na,olarrr,na,na,SCT021,na,na,25/20,Q1017,na
2016060114,SBKG,011400Z,14008KT,na,olarrr,na,na,SCT028,na,na,26/20,Q1016,na
2016060115,SBKG,011500Z,13009KT,na,olarrr,na,na,FEW030,na,na,27/20,Q1015,na
2016060116,SBKG,011600Z,13008KT,na,olarrr,na,na,SCT030,na,na,28/19,Q1014,na
2016060117,SBKG,011700Z,14009KT,na,olarrr,na,na,FEW040,na,na,29/19,Q1013,na
2016060118,SBKG,011800Z,13008KT,na,olarrr,na,na,FEW040,na,na,28/19,Q1013,na
2016060119,SBKG,011900Z,13010KT,na,olarrr,na,na,FEW030,na,na,27/19,Q1013,na
2016060119,SBKG,011945Z,12010KT,na,olarrr,na,na,na,na,na,27/19,Q1014,na
2016060202,SBKG,020215Z,09004KT,na,olarrr,na,na,FEW010,na,na,21/21,Q1015,na
2016060203,SBKG,020300Z,10003KT,na,olarrr,na,na,FEW010,na,na,21/21,Q1015,na
2016060204,SBKG,020400Z,12003KT,na,olarrr,na,na,SCT006,na,na,21/20,Q1015,na
2016060205,SBKG,020500Z,13004KT,na,olarrr,na,na,na,na,na,21/20,Q1014,na
2016060206,SBKG,020600Z,13004KT,na,olarrr,na,na,FEW005,na,na,20/20,Q1014,na
2016060207,SBKG,020700Z,14004KT,na,olarrr,na,na,BKN007,na,na,21/21,Q1014,na
2016060208,SBKG,020800Z,14006KT,na,olarrr,na,na,BKN005,na,na,21/21,Q1014,na
2016060209,SBKG,020900Z,13003KT,na,olarrr,na,na,SCT005,BKN007,na,21/21,Q1015,na
2016060210,SBKG,021000Z,15006KT,na,olarrr,na,na,OVC007,na,na,22/21,Q1016,na
2016060211,SBKG,021100Z,16007KT,na,olarrr,na,na,BKN010,na,na,23/21,Q1017,na
2016060212,SBKG,021200Z,14007KT,na,olarrr,na,na,BKN013,na,na,25/21,Q1017,na
2016060213,SBKG,021300Z,12008KT,na,olarrr,na,na,BKN015,na,na,25/21,Q1017,na
2016060214,SBKG,021400Z,11008KT,na,olarrr,na,na,BKN018,na,na,26/21,Q1016,na
2016060215,SBKG,021500Z,11009KT,na,olarrr,na,na,SCT040,na,na,28/21,Q1015,na
2016060216,SBKG,021600Z,10007KT,na,olarrr,na,na,SCT040,na,na,29/20,Q1014,na
2016060217,SBKG,021700Z,10008KT,na,olarrr,na,na,SCT040,na,na,28/21,Q1014,na
2016060218,SBKG,021800Z,11011KT,na,olarrr,na,na,FEW040,na,na,28/21,Q1013,na
2016060219,SBKG,021900Z,09010KT,na,olarrr,na,na,FEW040,na,na,28/19,Q1013,na
2016060220,SBKG,022000Z,08011KT,na,olarrr,na,na,na,na,na,27/21,Q1014,na
2016060220,SBKG,022045Z,09009KT,na,olarrr,na,na,na,na,na,25/22,Q1014,na
2016060302,SBKG,030215Z,11007KT,na,olarrr,na,na,BKN004,BKN007,na,23/22,Q1016,na
2016060303,SBKG,030300Z,10004KT,na,olarrr,na,na,BKN005,na,na,23/22,Q1016,na
2016060304,SBKG,030400Z,00000KT,na,olarrr,na,na,SCT003,BKN009,na,22/22,Q1015,na
2016060304,SBKG,030440Z,06003KT,na,olarrr,na,na,FEW007,na,na,22/22,Q1014,na
2016060305,SBKG,030500Z,07002KT,na,olarrr,na,na,FEW007,na,na,22/22,Q1014,na
2016060306,SBKG,030600Z,10004KT,na,olarrr,na,na,SCT004,na,na,23/22,Q1014,na
2016060307,SBKG,030700Z,10004KT,na,olarrr,na,na,FEW004,na,na,22/22,Q1014,na
2016060308,SBKG,030800Z,06004KT,na,olarrr,na,na,FEW010,SCT080,na,22/22,Q1015,na
2016060309,SBKG,030900Z,15002KT,na,olarrr,na,na,SCT010,BKN015,na,22/22,Q1016,na
2016060310,SBKG,031000Z,19003KT,na,olarrr,BR,na,SCT010,BKN015,na,23/22,Q1016,na
2016060311,SBKG,031100Z,13005KT,na,olarrr,na,na,BKN018,na,na,24/22,Q1017,na
2016060312,SBKG,031200Z,13008KT,na,olarrr,na,na,SCT010,BKN015,na,25/22,Q1017,na
2016060313,SBKG,031300Z,13007KT,na,olarrr,na,na,SCT010,BKN015,na,25/22,Q1018,na
2016060314,SBKG,031400Z,14007KT,na,olarrr,na,na,SCT010,BKN015,na,25/22,Q1017,na
2016060315,SBKG,031500Z,13010KT,na,olarrr,na,na,SCT010,BKN015,na,24/22,Q1017,na
2016060316,SBKG,031600Z,09011KT,na,olarrr,na,na,SCT006,BKN010,BKN015,23/22,Q1016,na
2016060317,SBKG,031700Z,09011KT,na,olarrr,-RA,na,SCT004,BKN010,BKN015,22/21,Q1015,na
2016060318,SBKG,031800Z,10013KT,na,olarrr,na,na,SCT005,BKN010,BKN015,22/21,Q1015,na
2016060318,SBKG,031815Z,10013KT,na,olarrr,-DZ,na,SCT005,BKN014,BKN016,22/21,Q1016,na
2016060319,SBKG,031900Z,10011KT,na,olarrr,-RA,BR,SCT004,BKN010,BKN015,21/21,Q1016,na
2016060319,SBKG,031945Z,10010KT,na,olarrr,-RA,BR,SCT004,BKN010,BKN015,21/21,Q1016,na
2016060323,SBKG,032300Z,16005KT,na,olarrr,na,na,BKN010,na,na,21/20,Q1017,na
2016060400,SBKG,040000Z,13005KT,na,olarrr,na,na,BKN010,na,na,21/21,Q1017,na
2016060401,SBKG,040100Z,10007KT,na,olarrr,na,na,BKN010,na,na,21/21,Q1017,na
2016060402,SBKG,040200Z,07006KT,na,olarrr,na,na,BKN007,na,na,21/21,Q1017,na
2016060403,SBKG,040300Z,07007KT,na,olarrr,na,na,BKN007,na,na,21/21,Q1016,na
2016060404,SBKG,040400Z,07005KT,na,olarrr,BR,na,BKN007,na,na,21/21,Q1016,na
2016060405,SBKG,040500Z,08007KT,na,olarrr,BR,na,BKN007,na,na,21/20,Q1015,na
2016060406,SBKG,040600Z,07004KT,na,olarrr,BR,na,BKN007,na,na,20/20,Q1015,na
2016060407,SBKG,040700Z,08005KT,na,olarrr,BR,na,BKN007,na,na,21/20,Q1015,na
2016060408,SBKG,040800Z,13004KT,na,olarrr,BR,na,BKN007,na,na,21/20,Q1015,na
2016060409,SBKG,040900Z,14004KT,na,olarrr,-DZ,na,SCT004,BKN013,na,21/21,Q1015,na
2016060410,SBKG,041000Z,18002KT,na,olarrr,na,na,SCT005,BKN007,na,22/22,Q1016,na
2016060411,SBKG,041100Z,12003KT,na,olarrr,na,na,SCT003,BKN007,na,22/22,Q1017,na
2016060412,SBKG,041200Z,15005KT,na,olarrr,na,na,SCT004,BKN009,na,23/23,Q1017,na
2016060413,SBKG,041300Z,10007KT,na,olarrr,BR,na,BKN007,BKN015,na,24/22,Q1017,na
2016060413,SBKG,041330Z,11008KT,na,olarrr,na,na,FEW005,SCT007,BKN018,24/23,Q1017,na
2016060414,SBKG,041400Z,09009KT,na,olarrr,na,na,SCT009,BKN016,na,24/22,Q1017,na
2016060415,SBKG,041500Z,10010KT,na,olarrr,na,na,SCT013,BKN020,na,25/23,Q1016,na
2016060416,SBKG,041600Z,08012KT,na,olarrr,na,na,BKN013,BKN020,na,23/22,Q1015,na
2016060416,SBKG,041631Z,09009KT,na,olarrr,na,na,SCT009,SCT020,FEW040TCU,25/23,Q1015,na
2016060417,SBKG,041700Z,09009KT,na,olarrr,na,na,FEW009,BKN020,na,26/23,Q1014,na
2016060418,SBKG,041800Z,11008KT,na,olarrr,na,na,SCT015,BKN020,na,26/22,Q1014,na
2016060419,SBKG,041900Z,11009KT,na,olarrr,na,na,FEW011,SCT025,FEW040TCU,25/23,Q1014,na
2016060419,SBKG,041945Z,11008KT,na,olarrr,na,na,FEW014,SCT040TCU,na,25/23,Q1014,na
2016060502,SBKG,050215Z,13005KT,na,olarrr,FG,na,na,na,na,22/22,Q1017,na
2016060503,SBKG,050300Z,09005KT,na,olarrr,na,na,OVC004,na,na,22/22,Q1017,na
2016060504,SBKG,050400Z,11007KT,na,olarrr,FG,na,OVC004,na,na,22/22,Q1016,na
2016060505,SBKG,050500Z,11006KT,na,olarrr,BR,na,SCT003,BKN010,na,22/22,Q1016,na
2016060506,SBKG,050600Z,10008KT,na,olarrr,-RA,na,SCT002,BKN008,na,22/22,Q1015,na
2016060507,SBKG,050700Z,10010KT,na,olarrr,BR,na,SCT003,BKN008,na,22/22,Q1016,na
2016060508,SBKG,050800Z,10011KT,na,olarrr,BR,na,SCT003,BKN007,na,22/22,Q1016,na
2016060509,SBKG,050900Z,11012KT,na,olarrr,BR,na,SCT003,BKN010,na,22/22,Q1017,na
2016060510,SBKG,051000Z,10010KT,na,olarrr,BR,na,SCT003,BKN010,na,22/22,Q1017,na
2016060511,SBKG,051100Z,10013KT,na,olarrr,na,na,SCT006,BKN010,BKN015,23/22,Q1017,na
2016060512,SBKG,051200Z,10014KT,na,olarrr,na,na,SCT015,na,na,25/22,Q1018,na
2016060513,SBKG,051300Z,09013KT,na,olarrr,na,na,SCT020,na,na,26/21,Q1018,na
2016060514,SBKG,051400Z,11015KT,na,olarrr,na,na,SCT020,na,na,27/21,Q1017,na
2016060515,SBKG,051500Z,10014KT,na,olarrr,na,na,SCT033,na,na,28/20,Q1016,na
2016060516,SBKG,051600Z,12012KT,na,olarrr,na,na,SCT040,na,na,28/19,Q1016,na
2016060517,SBKG,051700Z,10012KT,na,olarrr,na,na,SCT040,na,na,28/19,Q1015,na
2016060518,SBKG,051800Z,10012KT,na,olarrr,na,na,SCT036,na,na,28/19,Q1015,na
2016060519,SBKG,051900Z,10011KT,na,olarrr,na,na,FEW035,na,na,27/19,Q1015,na
2016060519,SBKG,051945Z,10010KT,na,olarrr,na,na,FEW030,na,na,27/20,Q1015,na
2016060602,SBKG,060215Z,19004KT,na,olarrr,na,na,SCT015,na,na,22/21,Q1017,na
2016060603,SBKG,060300Z,08004KT,na,olarrr,na,na,FEW008,SCT015,na,22/21,Q1017,na
2016060604,SBKG,060400Z,09004KT,na,olarrr,na,na,SCT013,SCT015,na,22/21,Q1016,na
2016060605,SBKG,060500Z,09003KT,na,olarrr,na,na,FEW005,SCT010,na,22/21,Q1016,na
2016060605,SBKG,060515Z,09003KT,na,olarrr,-RA,BR,SCT004,BKN010,na,22/22,Q1015,na
2016060606,SBKG,060600Z,09005KT,na,olarrr,na,na,SCT002,BKN010,BKN015,22/22,Q1015,na
2016060607,SBKG,060700Z,09005KT,na,olarrr,BR,na,SCT003,BKN008,na,22/22,Q1015,na
2016060608,SBKG,060800Z,10006KT,na,olarrr,BR,na,BKN002,BKN007,na,22/22,Q1015,na
2016060609,SBKG,060900Z,10006KT,na,olarrr,BR,na,BKN002,BKN009,na,22/22,Q1016,na
