Timestamp,Airport,Timezone,DirInten,Visibility,Weather0,Weather1,CG0,CG1,CG2,TTD,Pressure,ReraRets
2003060100,SBKG,010000Z,12004KT,CAVOK,na,na,na,na,na,21/19,Q1019,NULL
2003060101,SBKG,010100Z,12004KT,CAVOK,na,na,na,na,na,21/19,Q1019,NULL
2003060102,SBKG,010200Z,12004KT,CAVOK,na,na,na,na,na,20/19,Q1019,NULL
2003060103,SBKG,010300Z,12004KT,CAVOK,na,na,na,na,na,20/19,Q1019,NULL
2003060109,SBKG,010900Z,15002KT,9999,na,na,SCT018,na,na,19/18,Q1018,NULL
2003060110,SBKG,011000Z,17006KT,9999,na,na,FEW020,na,na,20/19,Q1018,NULL
2003060111,SBKG,011100Z,17006KT,9999,na,na,SCT020,na,na,24/19,Q1019,NULL
2003060112,SBKG,011200Z,14010KT,9999,na,na,BKN023,na,na,25/18,Q1019,NULL
2003060113,SBKG,011300Z,17010KT,9999,na,na,BKN023,na,na,25/20,Q1019,NULL
2003060114,SBKG,011400Z,17010KT,9999,na,na,BKN025,na,na,27/19,Q1019,NULL
2003060115,SBKG,011500Z,15008KT,9999,na,na,SCT030,na,na,28/17,Q1017,NULL
2003060116,SBKG,011600Z,15012KT,9999,na,na,SCT030,na,na,29/16,Q1016,NULL
2003060117,SBKG,011700Z,12008KT,9999,na,na,SCT030,na,na,29/16,Q1016,NULL
2003060118,SBKG,011800Z,12012KT,9999,na,na,SCT030,na,na,29/18,Q1015,NULL
2003060119,SBKG,011900Z,15012KT,9999,na,na,SCT025,na,na,28/17,Q1015,NULL
2003060120,SBKG,012000Z,13006KT,9999,na,na,FEW023,na,na,26/19,Q1016,NULL
2003060121,SBKG,012100Z,12008KT,9999,na,na,FEW020,na,na,25/19,Q1016,NULL
2003060122,SBKG,012200Z,12008KT,CAVOK,na,na,na,na,na,24/19,Q1017,NULL
2003060123,SBKG,012300Z,12004KT,CAVOK,na,na,na,na,na,22/19,Q1018,NULL
2003060200,SBKG,020000Z,12005KT,CAVOK,na,na,na,na,na,21/20,Q1019,NULL
2003060201,SBKG,020100Z,13004KT,CAVOK,na,na,na,na,na,21/20,Q1019,NULL
2003060202,SBKG,020200Z,13004KT,9999,na,na,SCT010,na,na,21/20,Q1019,NULL
2003060203,SBKG,020300Z,12005KT,9999,na,na,FEW010,na,na,21/20,Q1018,NULL
2003060209,SBKG,020900Z,18004KT,8000,na,na,SCT012,na,na,20/19,Q1018,NULL
