Timestamp,Airport,Timezone,DirInten,Visibility,Weather0,Weather1,CG0,CG1,CG2,TTD,Pressure,ReraRets
2011060100,SBKG,010000Z,15007KT,CAVOK,na,na,na,na,na,22/20,Q1016,NULL
2011060101,SBKG,010100Z,15008KT,CAVOK,na,na,na,na,na,21/20,Q1016,NULL
2011060102,SBKG,010200Z,16007KT,CAVOK,na,na,na,na,na,21/20,Q1015,NULL
2011060103,SBKG,010300Z,15008KT,CAVOK,na,na,na,na,na,21/20,Q1015,NULL
2011060109,SBKG,010915Z,12003KT,9999,na,na,SCT010,na,na,21/20,Q1015,NULL
2011060110,SBKG,011000Z,13007KT,9999,na,na,SCT010,BKN015,na,23/21,Q1015,NULL
2011060111,SBKG,011100Z,14006KT,9999,na,na,SCT015,BKN018,na,24/21,Q1016,NULL
2011060112,SBKG,011200Z,14006KT,9999,na,na,SCT015,BKN018,na,24/21,Q1016,NULL
2011060113,SBKG,011300Z,17011KT,9999,na,na,SCT015,BKN018,na,26/21,Q1016,NULL
2011060114,SBKG,011400Z,13011KT,5000,-RA,BR,SCT010,BKN015,na,23/21,Q1015,NULL
2011060115,SBKG,011500Z,14010KT,9999,na,na,SCT015,BKN020,na,25/21,Q1014,NULL
2011060116,SBKG,011600Z,10009KT,9999,na,na,SCT030,na,na,27/21,Q1013,NULL
2011060117,SBKG,011700Z,10007KT,9999,na,na,SCT030,na,na,28/21,Q1013,NULL
2011060118,SBKG,011800Z,12008KT,9999,na,na,SCT027,na,na,27/19,Q1013,NULL
2011060119,SBKG,011900Z,12007KT,9999,na,na,SCT027,na,na,25/19,Q1013,NULL
2011060120,SBKG,012000Z,14007KT,9999,na,na,FEW020,na,na,24/19,Q1013,NULL
2011060121,SBKG,012100Z,13007KT,9999,na,na,FEW020,na,na,22/19,Q1014,NULL
2011060122,SBKG,012200Z,12004KT,9999,na,na,FEW025,na,na,21/19,Q1014,NULL
2011060123,SBKG,012300Z,14002KT,CAVOK,na,na,na,na,na,20/19,Q1015,NULL
2011060200,SBKG,020000Z,13004KT,CAVOK,na,na,na,na,na,20/19,Q1015,NULL
2011060201,SBKG,020100Z,13002KT,CAVOK,na,na,na,na,na,20/19,Q1016,NULL
2011060202,SBKG,020200Z,12002KT,9999,na,na,FEW015,na,na,20/19,Q1016,NULL
2011060203,SBKG,020300Z,13003KT,9999,na,na,SCT020,na,na,20/20,Q1016,NULL
2011060209,SBKG,020915Z,14003KT,9999,na,na,SCT010,na,na,20/20,Q1014,NULL
2011060210,SBKG,021000Z,14005KT,9999,na,na,SCT015,na,na,23/21,Q1015,NULL
2011060211,SBKG,021100Z,14010KT,9999,na,na,SCT018,na,na,25/20,Q1015,NULL
2011060212,SBKG,021200Z,14010KT,9999,na,na,FEW020,na,na,27/19,Q1016,NULL
2011060213,SBKG,021300Z,15011KT,9999,na,na,BKN020,na,na,27/19,Q1016,NULL
2011060214,SBKG,021400Z,16012KT,9999,na,na,BKN025,na,na,29/19,Q1016,NULL
2011060215,SBKG,021500Z,15010KT,9999,na,na,BKN040,na,na,29/19,Q1015,NULL
2011060216,SBKG,021600Z,13009KT,9999,na,na,BKN030,na,na,28/19,Q1014,NULL
2011060217,SBKG,021700Z,13006KT,9999,na,na,SCT030,na,na,29/20,Q1013,NULL
2011060218,SBKG,021800Z,12007KT,9999,na,na,SCT030,na,na,28/20,Q1013,NULL
2011060219,SBKG,021900Z,10010KT,9999,na,na,SCT025,na,na,24/21,Q1014,NULL
2011060220,SBKG,022000Z,13016KT,2000,-RA,BR,SCT009,BKN012,na,22/20,Q1014,NULL
2011060221,SBKG,022100Z,10008KT,9999,na,na,FEW010,OVC070,na,21/20,Q1014,NULL
2011060222,SBKG,022200Z,15006KT,3000,-RA,BR,SCT006,BKN010,OVC070,21/20,Q1015,NULL
2011060222,SBKG,022220Z,16006KT,5000,BR,na,SCT010,BKN015,OVC070,21/20,Q1015,NULL
2011060223,SBKG,022300Z,13006KT,9999,na,na,SCT015,BKN080,na,21/20,Q1015,NULL
2011060300,SBKG,030000Z,13004KT,9999,na,na,SCT015,BKN080,na,21/20,Q1016,NULL
2011060301,SBKG,030100Z,17003KT,9999,na,na,SCT015,BKN080,na,21/20,Q1016,NULL
2011060302,SBKG,030200Z,18004KT,9999,na,na,SCT015,BKN080,na,22/21,Q1016,NULL
2011060303,SBKG,030300Z,16004KT,9999,na,na,SCT015,BKN080,na,22/21,Q1016,NULL
2011060309,SBKG,030915Z,16002KT,9999,na,na,BKN012,na,na,21/20,Q1014,NULL
2011060310,SBKG,031000Z,15004KT,9999,na,na,BKN015,na,na,22/20,Q1015,NULL
2011060311,SBKG,031100Z,17006KT,9999,na,na,BKN017,na,na,23/20,Q1016,NULL
2011060312,SBKG,031200Z,14008KT,9999,na,na,SCT022,na,na,26/20,Q1016,NULL
2011060313,SBKG,031300Z,19007KT,9999,na,na,SCT020,na,na,28/20,Q1016,NULL
2011060314,SBKG,031400Z,18008KT,9999,na,na,SCT030,na,na,27/19,Q1016,NULL
2011060315,SBKG,031500Z,17011KT,9999,na,na,SCT030,na,na,29/19,Q1015,NULL
2011060316,SBKG,031600Z,14008KT,9999,na,na,SCT030,na,na,28/20,Q1014,NULL
2011060317,SBKG,031700Z,15007KT,9999,na,na,SCT030,na,na,29/18,Q1014,NULL
2011060318,SBKG,031800Z,16008KT,9999,na,na,SCT030,na,na,27/18,Q1014,NULL
2011060319,SBKG,031900Z,18007KT,9999,na,na,FEW030,na,na,27/19,Q1014,NULL
2011060320,SBKG,032000Z,17008KT,9999,na,na,SCT030,na,na,25/19,Q1014,NULL
2011060321,SBKG,032100Z,16006KT,9999,na,na,SCT020,na,na,24/19,Q1014,NULL
